Date,Open,High,Low,Close,Volume,OpenInterest
2006-01-03,3578.73,3638.42,3578.73,3614.34,0,0
2006-01-05,3615.23,3661.65,3615.23,3650.24,0,0
2006-01-09,3650.54,3685.99,3647.66,3671.78,0,0
2006-01-11,3671.23,3674.31,3638.77,3668.61,0,0
2006-01-13,3667.16,3676.00,3618.06,3629.25,0,0
2006-01-17,3628.73,3649.10,3606.54,3610.07,0,0
2006-01-19,3609.34,3609.34,3550.16,3593.22,0,0
2006-01-23,3593.16,3612.37,3515.07,3544.31,0,0
2006-01-25,3544.78,3578.00,3526.37,3578.00,0,0
2006-01-27,3578.92,3685.48,3577.98,3685.48,0,0
2006-01-31,3684.38,3707.63,3664.45,3691.41,0,0
2006-02-02,3686.16,3745.14,3674.89,3677.05,0,0
2006-02-06,3677.05,3704.17,3652.76,3682.32,0,0
2006-02-08,3682.97,3698.63,3637.93,3671.37,0,0
2006-02-10,3672.34,3735.14,3672.34,3695.63,0,0
2006-02-14,3696.09,3744.66,3684.83,3734.48,0,0
2006-02-16,3733.97,3756.47,3720.41,3756.47,0,0
2006-02-20,3757.34,3777.16,3749.88,3766.74,0,0
2006-02-22,3767.21,3818.48,3767.21,3818.48,0,0
2006-02-24,3819.56,3831.16,3796.21,3826.00,0,0
2006-02-28,3828.99,3840.56,3769.25,3774.51,0,0
2006-03-02,3775.23,3820.55,3745.46,3763.73,0,0
2006-03-06,3763.95,3774.03,3715.35,3754.07,0,0
2006-03-08,3751.30,3757.16,3702.04,3727.96,0,0
2006-03-10,3736.61,3798.46,3736.61,3798.46,0,0
2006-03-14,3801.03,3833.48,3801.03,3833.48,0,0
2006-03-16,3834.11,3853.33,3822.56,3839.71,0,0
2006-03-20,3840.20,3874.64,3820.50,3842.03,0,0
2006-03-22,3842.49,3872.62,3811.02,3868.48,0,0
2006-03-24,3869.22,3878.49,3850.46,3870.89,0,0
2006-03-28,3872.28,3872.28,3799.04,3811.45,0,0
2006-03-30,3811.85,3881.69,3799.12,3874.61,0,0
2006-04-03,3872.37,3881.11,3840.64,3878.64,0,0
2006-04-05,3875.08,3875.08,3835.35,3863.92,0,0
2006-04-07,3866.01,3879.70,3822.26,3823.11,0,0
2006-04-11,3822.35,3843.62,3781.99,3788.81,0,0
2006-04-13,3786.93,3791.15,3753.47,3779.94,0,0
