Date,Time,Open,High,Low,Close,Volume,OpenInterest
2006-01-02,09:05:00,3578.73,3587.88,3578.73,3582.99,0,0
2006-01-02,09:10:00,3583.01,3588.40,3583.01,3588.03,0,0
2006-01-02,09:15:00,3588.09,3591.83,3587.75,3591.83,0,0
2006-01-02,09:20:00,3591.42,3591.58,3589.58,3590.62,0,0
2006-01-02,09:25:00,3590.64,3591.86,3590.29,3591.16,0,0
2006-01-02,09:30:00,3591.18,3591.18,3590.02,3590.65,0,0
2006-01-02,09:35:00,3591.40,3596.42,3591.34,3596.41,0,0
2006-01-02,09:40:00,3597.27,3602.86,3597.27,3602.43,0,0
2006-01-02,09:45:00,3602.96,3605.49,3602.57,3604.35,0,0
2006-01-02,09:50:00,3604.02,3604.11,3602.70,3602.70,0,0
2006-01-02,09:55:00,3602.61,3602.61,3601.56,3601.79,0,0
2006-01-02,10:00:00,3601.58,3601.58,3599.29,3600.40,0,0
2006-01-02,10:05:00,3600.28,3602.70,3600.28,3602.70,0,0
2006-01-02,10:10:00,3602.34,3603.31,3600.95,3601.05,0,0
2006-01-02,10:15:00,3600.82,3600.82,3598.58,3598.85,0,0
2006-01-02,10:20:00,3598.70,3600.52,3598.60,3599.74,0,0
2006-01-02,10:25:00,3599.96,3601.35,3599.87,3601.02,0,0
2006-01-02,10:30:00,3601.47,3601.57,3600.70,3601.11,0,0
2006-01-02,10:35:00,3601.48,3603.04,3601.07,3601.34,0,0
2006-01-02,10:40:00,3601.15,3602.69,3601.15,3602.69,0,0
2006-01-02,10:45:00,3602.61,3602.86,3602.15,3602.15,0,0
2006-01-02,10:50:00,3602.34,3602.39,3601.42,3601.89,0,0
2006-01-02,10:55:00,3601.99,3602.54,3601.55,3601.55,0,0
2006-01-02,11:00:00,3601.70,3601.85,3600.46,3601.22,0,0
2006-01-02,11:05:00,3601.26,3601.58,3600.66,3600.72,0,0
2006-01-02,11:10:00,3600.49,3600.88,3599.07,3599.85,0,0
2006-01-02,11:15:00,3599.72,3599.85,3598.10,3598.47,0,0
2006-01-02,11:20:00,3598.45,3598.45,3590.60,3590.63,0,0
2006-01-02,11:25:00,3590.66,3592.40,3590.32,3592.18,0,0
2006-01-02,11:30:00,3592.13,3593.72,3592.13,3593.72,0,0
2006-01-02,11:35:00,3593.78,3595.29,3593.78,3595.20,0,0
2006-01-02,11:40:00,3595.35,3595.80,3594.84,3595.26,0,0
2006-01-02,11:45:00,3595.43,3596.26,3594.81,3595.73,0,0
2006-01-02,11:50:00,3595.84,3597.04,3595.31,3597.04,0,0
2006-01-02,11:55:00,3596.77,3599.26,3596.55,3598.63,0,0
2006-01-02,12:00:00,3598.73,3599.48,3598.06,3598.40,0,0
2006-01-02,12:05:00,3598.58,3598.92,3598.16,3598.37,0,0
