Date,Open,High,Low,Close,Volume,OpenInterest
2006-01-06,3578.73,3666.99,3578.73,3666.99,0,0
2006-01-13,3667.10,3685.99,3618.06,3629.25,0,0
2006-01-20,3628.73,3649.10,3550.16,3550.80,0,0
2006-01-27,3550.24,3685.48,3515.07,3685.48,0,0
2006-02-03,3684.38,3745.14,3652.76,3678.48,0,0
2006-02-10,3678.87,3735.14,3637.93,3695.63,0,0
2006-02-17,3696.09,3777.16,3684.83,3767.70,0,0
2006-02-24,3767.11,3831.16,3749.88,3826.00,0,0
2006-03-03,3828.99,3840.56,3715.35,3733.95,0,0
2006-03-10,3737.58,3798.46,3702.04,3798.46,0,0
2006-03-17,3801.03,3874.64,3801.03,3832.43,0,0
2006-03-24,3833.25,3878.49,3811.02,3870.89,0,0
2006-03-31,3872.28,3881.69,3799.04,3853.74,0,0
2006-04-07,3859.99,3881.11,3822.26,3823.11,0,0
2006-04-13,3822.35,3843.62,3753.47,3779.94,0,0
2006-04-21,3779.23,3892.35,3749.71,3888.46,0,0
2006-04-28,3884.57,3892.16,3832.10,3839.90,0,0
2006-05-05,3839.24,3879.31,3806.35,3874.32,0,0
2006-05-12,3877.74,3897.40,3750.44,3750.44,0,0
2006-05-19,3746.40,3750.42,3558.27,3625.33,0,0
2006-05-26,3622.35,3699.80,3527.05,3699.80,0,0
2006-06-02,3696.48,3696.48,3542.41,3636.89,0,0
2006-06-09,3636.83,3638.59,3462.37,3520.99,0,0
2006-06-16,3519.43,3544.27,3379.66,3463.56,0,0
2006-06-23,3469.88,3571.24,3453.14,3550.15,0,0
2006-06-30,3554.07,3655.02,3484.71,3648.92,0,0
2006-07-07,3648.91,3670.75,3607.81,3651.33,0,0
2006-07-14,3645.42,3671.09,3508.25,3508.25,0,0
2006-07-21,3512.22,3612.48,3462.77,3557.08,0,0
2006-07-28,3559.34,3711.41,3559.34,3710.60,0,0
2006-08-04,3708.82,3729.29,3632.51,3718.09,0,0
2006-08-11,3707.49,3712.22,3638.55,3675.10,0,0
2006-08-18,3690.09,3807.48,3690.09,3791.40,0,0
2006-08-25,3789.99,3797.91,3743.26,3781.17,0,0
2006-09-01,3778.79,3836.22,3758.87,3820.89,0,0
2006-09-08,3824.02,3839.30,3729.77,3750.08,0,0
2006-09-15,3745.78,3825.15,3709.81,3812.11,0,0
2006-09-22,3813.73,3867.74,3770.36,3812.73,0,0
2006-09-29,3815.13,3921.15,3802.47,3899.41,0,0
2006-10-06,3902.03,3950.06,3858.87,3940.31,0,0
2006-10-13,3932.33,4008.67,3921.81,3999.07,0,0
2006-10-20,4000.30,4016.63,3947.39,3998.19,0,0
2006-10-27,4001.63,4047.54,3982.02,4017.27,0,0
2006-11-03,4007.26,4029.57,3961.64,3990.46,0,0
2006-11-10,3991.47,4081.70,3991.47,4063.84,0,0
2006-11-17,4063.01,4116.79,4059.51,4078.36,0,0
2006-11-24,4074.59,4118.40,4028.30,4048.16,0,0
2006-12-01,4045.05,4053.68,3914.46,3932.09,0,0
2006-12-08,3935.81,4039.25,3927.40,4019.89,0,0
2006-12-15,4024.14,4147.38,4024.14,4140.66,0,0
2006-12-22,4140.99,4141.46,4072.62,4073.50,0,0
2006-12-29,4079.70,4142.06,4079.70,4119.94,0,0
