,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率
0,1,300541,先进数通,20.26,20.02,3.38,811593.0,1581242096.0,16.71,20.26,17.44,17.44,16.88,1.69,32.49,55.95,5.75
1,2,300468,四方精创,24.56,19.98,4.09,610241.0,1438287600.0,17.34,24.56,21.01,21.49,20.47,3.1,21.61,97.52,5.85
2,3,301049,超越科技,31.48,15.02,4.11,85808.0,266445562.0,17.21,32.84,28.13,28.66,27.37,8.64,38.4,31.28,3.3
3,4,300334,津膜科技,10.09,14.66,1.29,371360.0,365538816.0,22.16,10.56,8.61,8.69,8.8,5.84,12.44,164.52,4.03
4,5,000732,泰禾集团,3.36,10.16,0.31,603549.0,200011926.0,6.23,3.36,3.17,3.17,3.05,0.61,2.43,-8.23,0.62
5,6,002621,美吉姆,5.24,10.08,0.48,413738.0,204235853.0,13.24,5.24,4.61,4.76,4.76,1.6,5.19,85.17,3.63
6,7,002712,思美传媒,5.79,10.08,0.53,412343.0,237260996.0,10.46,5.79,5.24,5.24,5.26,1.41,7.18,49.99,1.71
7,8,002494,华斯股份,6.01,10.07,0.55,544837.0,314406544.0,11.17,6.01,5.4,5.4,5.46,0.98,18.47,303.46,1.49
8,9,002177,御银股份,6.34,10.07,0.58,2771648.0,1697264192.0,11.81,6.34,5.66,6.18,5.76,4.79,36.41,-49.38,2.97
9,10,600358,国旅联合,6.13,10.05,0.56,798329.0,474683488.0,11.31,6.13,5.5,5.61,5.57,2.21,15.81,222.02,17.59
10,11,600228,返利科技,9.2,10.05,0.84,333471.0,292085072.0,18.18,9.2,7.68,7.68,8.36,3.82,13.82,133.76,22.05
11,12,002314,南山控股,5.04,10.04,0.46,671769.0,338070128.0,3.49,5.04,4.88,5.04,4.58,1.48,5.02,27.21,1.34
12,13,601068,中铝国际,5.7,10.04,0.52,448163.0,248282067.0,13.32,5.7,5.01,5.12,5.18,1.61,1.75,2952.7,2.71
13,14,000517,荣安地产,2.85,10.04,0.26,291715.0,83138698.0,0.0,2.85,2.85,2.85,2.59,2.26,1.17,9.19,1.03
14,15,002348,高乐股份,2.96,10.04,0.27,2479313.0,696897584.0,18.22,2.96,2.47,2.6,2.69,1.86,29.02,-52.72,3.88
15,16,002761,浙江建投,12.61,10.03,1.15,368931.0,437245616.0,17.1,12.61,10.65,10.97,11.46,1.61,15.16,11.19,2.46
16,17,000965,天保基建,3.29,10.03,0.3,608772.0,199081050.0,5.35,3.29,3.13,3.29,2.99,3.16,5.49,-37.28,0.69
17,18,002104,恒宝股份,13.71,10.03,1.25,1085676.0,1483378064.0,4.82,13.71,13.11,13.71,12.46,2.39,18.46,215.82,4.84
18,19,000796,凯撒旅业,10.75,10.03,0.98,797959.0,842706480.0,6.96,10.75,10.07,10.15,9.77,2.58,9.94,-25.03,12.69
19,20,000428,华天酒店,4.17,10.03,0.38,824832.0,326094848.0,13.46,4.17,3.66,3.77,3.79,1.31,8.1,-14.1,2.3
20,21,002657,中科金财,15.04,10.02,1.37,251402.0,351444928.0,12.73,15.04,13.3,13.4,13.67,1.14,8.83,-94.25,2.3
21,22,003037,三和管桩,12.19,10.02,1.11,140898.0,166348952.0,12.27,12.19,10.83,10.92,11.08,3.01,15.48,72.88,3.66
22,23,002201,正威新材,19.99,10.02,1.82,181767.0,353355504.0,8.59,19.99,18.43,18.85,18.17,1.89,3.91,215.12,9.25
23,24,002878,元隆雅图,29.77,10.01,2.71,142084.0,422982608.0,0.0,29.77,29.77,29.77,27.06,6.85,7.6,60.71,7.81
24,25,600996,贵广网络,7.69,10.01,0.7,690331.0,503626304.0,13.02,7.69,6.78,6.87,6.99,1.01,6.56,-10.53,2.11
25,26,600714,金瑞矿业,14.51,10.01,1.32,89471.0,124671570.0,10.84,14.51,13.08,13.23,13.19,1.63,3.1,61.19,6.21
26,27,002530,金财互联,15.83,10.01,1.44,1626494.0,2517340128.0,10.01,15.83,14.39,14.39,14.39,1.23,25.08,-54.37,6.34
27,28,601999,出版传媒,8.36,10.0,0.76,182200.0,151703334.0,3.68,8.36,8.08,8.33,7.6,1.25,3.31,37.7,1.91
28,29,600706,曲江文旅,13.09,10.0,1.19,558143.0,697239008.0,13.36,13.09,11.5,11.79,11.9,1.17,26.14,-103.92,2.83
29,30,600336,澳柯玛,7.04,10.0,0.64,576656.0,394417216.0,11.88,7.04,6.28,6.39,6.4,6.09,7.29,28.82,2.4
30,31,003040,楚天龙,28.71,10.0,2.61,199333.0,552693968.0,12.49,28.71,25.45,26.0,26.1,1.91,25.43,363.57,9.83
31,32,002182,云海金属,23.1,10.0,2.1,783770.0,1768744688.0,12.29,23.1,20.52,20.8,21.0,3.76,14.07,42.48,4.95
32,33,000711,京蓝科技,5.28,10.0,0.48,2086014.0,1070343184.0,14.17,5.28,4.6,4.73,4.8,1.2,25.38,-11.8,2.8
33,34,003029,吉大正元,23.88,10.0,2.17,140260.0,323336816.0,12.02,23.88,21.27,21.53,21.71,1.64,12.55,111.04,3.49
34,35,002037,保利联合,17.94,9.99,1.63,1456593.0,2564800032.0,5.76,17.94,17.0,17.0,16.31,13.11,44.49,97.76,2.49
35,36,002813,路畅科技,29.39,9.99,2.67,125759.0,353862320.0,14.6,29.39,25.49,26.21,26.72,2.43,10.78,478.71,9.09
36,37,603176,汇通集团,14.64,9.99,1.33,700246.0,941050944.0,19.98,14.64,11.98,12.5,13.31,1.97,60.02,70.18,7.19
37,38,603408,建霖家居,14.76,9.99,1.34,65409.0,94099485.0,10.73,14.76,13.32,13.36,13.42,8.93,5.64,16.5,2.61
38,39,600769,祥龙电业,7.05,9.98,0.64,195103.0,134197683.0,10.92,7.05,6.35,6.35,6.41,3.48,5.2,348.04,39.99
39,40,000701,厦门信达,7.05,9.98,0.64,425942.0,292194944.0,12.01,7.05,6.28,6.28,6.41,1.65,10.48,56.92,6.48
40,41,600992,贵绳股份,13.44,9.98,1.22,389105.0,505389600.0,12.77,13.44,11.88,11.99,12.22,1.08,15.88,117.59,2.27
41,42,002095,生 意 宝,16.64,9.98,1.51,32216.0,53147205.0,5.22,16.64,15.85,15.85,15.13,0.55,1.28,190.77,4.6
42,43,600444,国机通用,15.54,9.98,1.41,149062.0,222144012.0,14.08,15.54,13.55,14.03,14.13,1.66,10.18,70.63,3.71
43,44,000920,沃顿科技,10.48,9.97,0.95,218438.0,222009280.0,11.33,10.48,9.4,9.41,9.53,3.11,5.18,32.21,3.52
44,45,000656,金科股份,5.08,9.96,0.46,1912874.0,957543296.0,7.14,5.08,4.75,4.75,4.62,1.41,3.6,4.49,0.75
45,46,001227,兰州银行,6.85,9.95,0.62,3284992.0,2159573920.0,11.24,6.85,6.15,6.17,6.23,1.23,57.67,23.34,1.53
46,47,603843,正平股份,5.53,9.94,0.5,93356.0,51625973.0,0.0,5.53,5.53,5.53,5.03,0.72,1.67,44.53,1.94
47,48,603335,迪生力,6.53,9.93,0.59,291374.0,186712414.0,6.4,6.53,6.15,6.16,5.94,2.49,6.81,48.62,4.5
48,49,002400,省广集团,5.87,9.93,0.53,340806.0,200053210.0,0.0,5.87,5.87,5.87,5.34,0.62,2.02,73.63,2.26
49,50,600683,京投发展,5.32,9.92,0.48,292143.0,153868007.0,9.3,5.32,4.87,4.87,4.84,4.6,3.94,35.25,1.31
50,51,000918,嘉凯城,2.89,9.89,0.26,845277.0,244153975.0,2.66,2.89,2.82,2.89,2.63,1.8,4.69,-6.94,3.04
