Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,124.62,125.19,111.62,118.12,98114800,27.85
2000-01-04,115.50,118.62,105.00,107.69,116824800,25.39
2000-01-05,101.62,106.38,96.00,102.00,166054000,24.05
2000-01-06,100.16,105.00,94.69,96.00,109880000,22.63
2000-01-07,95.00,103.50,93.56,103.38,91755600,24.37
2000-01-10,108.00,116.00,105.50,115.75,91518000,27.29
2000-01-11,112.62,114.75,109.50,112.38,86585200,26.49
2000-01-12,112.25,112.25,103.69,105.62,83443600,24.90
2000-01-13,108.50,109.88,103.50,105.06,55779200,24.77
2000-01-14,109.00,111.38,104.75,106.81,57078000,25.18
2000-01-18,107.88,114.50,105.62,111.25,66780000,26.23
2000-01-19,56.12,58.25,54.00,57.12,49198400,26.93
2000-01-20,59.00,60.25,58.12,59.25,54526800,27.94
2000-01-21,61.50,61.50,59.00,59.69,50891000,28.14
2000-01-24,60.25,60.38,54.00,54.19,50022400,25.55
2000-01-25,55.06,57.50,54.88,56.44,53059200,26.61
2000-01-26,56.75,58.94,55.00,55.06,47569200,25.96
2000-01-27,55.81,56.69,50.00,51.81,61054000,24.43
2000-01-28,51.50,51.94,46.62,47.38,86394000,22.34
2000-01-31,47.94,50.12,47.06,49.95,68148000,23.55
2000-02-01,51.25,54.31,50.00,54.00,57105600,25.46
2000-02-02,54.94,56.00,54.00,54.31,63933000,25.61
2000-02-03,55.38,57.00,54.25,56.69,55533200,26.73
2000-02-04,57.62,58.25,56.81,57.81,40916000,27.26
2000-02-07,59.31,60.00,58.88,59.94,44691200,28.26
2000-02-08,60.75,61.44,59.00,59.56,55718000,28.08
2000-02-09,60.06,61.31,58.81,59.94,52471600,28.26
2000-02-10,60.00,62.62,58.00,62.31,45288600,29.38
2000-02-11,62.50,64.75,58.75,59.69,55774000,28.14
2000-02-14,60.88,62.25,58.62,62.19,37599800,29.32
2000-02-15,61.62,63.19,59.12,61.38,47971400,28.94
2000-02-16,61.00,62.56,60.12,61.25,33489200,28.88
2000-02-17,61.75,62.75,60.00,61.62,40392600,29.06
2000-02-18,61.69,62.00,58.38,58.56,63888400,27.61
2000-02-22,59.12,61.44,56.31,59.31,75546200,27.97
2000-02-23,60.19,63.27,59.62,63.06,69664400,29.73
2000-02-24,63.19,65.06,60.25,61.94,70963200,29.20
2000-02-25,61.88,71.00,61.88,70.62,103186600,33.30
2000-02-28,71.25,76.50,68.25,68.62,122316600,32.36
2000-02-29,73.38,74.44,71.12,74.25,55586400,35.01
2000-03-01,73.75,74.50,70.75,71.50,44934400,33.71
2000-03-02,73.50,73.56,67.88,68.50,52311000,32.30
2000-03-03,71.12,75.12,70.17,75.00,47974400,35.36
2000-03-06,74.81,76.94,72.38,75.75,45520600,35.72
2000-03-07,76.62,80.00,74.38,74.94,53982200,35.33
2000-03-08,77.38,83.56,75.00,83.12,62781200,39.19
2000-03-09,84.31,85.00,80.12,84.00,56476400,39.61
2000-03-10,84.00,84.06,80.25,81.62,44699800,38.49
2000-03-13,78.50,83.62,76.80,78.75,65803200,37.13
2000-03-14,81.88,83.75,76.50,77.00,72364000,36.31
2000-03-15,84.00,85.00,77.00,78.62,144810400,37.07
2000-03-16,80.69,82.56,76.69,81.94,95532400,38.63
2000-03-17,81.75,82.00,79.50,79.81,66055200,37.63
2000-03-20,80.50,80.62,77.56,78.12,47183600,36.84
2000-03-21,77.88,80.88,76.00,80.69,52621400,38.04
2000-03-22,81.00,84.38,78.88,84.06,53197600,39.64
2000-03-23,83.12,88.00,82.56,86.88,50803800,40.96
2000-03-24,86.81,89.69,86.44,87.00,52821600,41.02
2000-03-27,89.06,89.31,86.94,88.44,32597200,41.70
2000-03-28,87.62,90.00,85.50,86.56,36039200,40.81
2000-03-29,86.06,86.12,82.06,82.50,51966200,38.90
2000-03-30,78.50,84.50,78.00,78.44,70986000,36.98
2000-03-31,80.19,81.56,76.00,78.06,79842000,36.81
2000-04-03,78.62,80.62,75.00,76.88,71598000,36.25
2000-04-04,78.12,78.12,65.08,75.94,123633800,35.80
2000-04-05,73.25,81.00,72.55,78.25,73736800,36.90
2000-04-06,80.62,83.44,80.12,82.19,62408200,38.75
2000-04-07,83.69,87.25,83.00,87.12,46764600,41.08
2000-04-10,87.50,87.62,82.25,82.50,56241200,38.90
2000-04-11,80.19,81.62,76.81,77.38,70983800,36.48
2000-04-12,77.94,80.00,72.94,73.12,67133000,34.48
2000-04-13,74.88,77.50,71.75,71.94,63206800,33.92
2000-04-14,69.92,71.28,60.25,62.50,109951400,29.47
2000-04-17,60.50,74.88,60.17,74.81,115304800,35.27
2000-04-18,75.56,79.06,73.75,78.94,78738800,37.22
2000-04-19,78.62,79.56,74.25,74.56,46184200,35.16
2000-04-20,73.81,75.50,69.88,70.81,50397800,33.39
2000-04-24,67.38,72.69,67.00,72.44,59725600,34.15
2000-04-25,74.88,76.38,72.62,75.56,61764200,35.63
2000-04-26,76.12,77.81,71.06,72.19,47788800,34.04
2000-04-27,70.06,77.56,69.94,77.31,52101000,36.45
2000-04-28,78.50,80.00,78.12,79.94,41696600,37.69
2000-05-01,79.88,81.88,78.75,79.69,37093400,37.57
2000-05-02,78.94,79.50,77.38,77.81,35341000,36.69
2000-05-03,76.88,77.12,72.12,75.81,49603200,35.75
2000-05-04,75.31,76.94,73.00,74.25,39899800,35.01
2000-05-05,74.00,77.00,73.75,76.81,35289600,36.22
2000-05-08,75.31,76.00,72.06,72.31,36528400,34.10
2000-05-09,73.69,74.25,71.25,72.00,43535200,33.95
2000-05-10,70.94,73.12,67.50,67.62,71169800,31.89
2000-05-11,68.94,72.38,68.00,72.38,46590200,34.13
2000-05-12,73.31,76.44,73.06,74.19,39038200,34.98
2000-05-15,74.44,77.00,70.62,77.00,41971800,36.31
2000-05-16,77.62,79.75,77.06,79.19,38261400,37.34
2000-05-17,77.75,79.88,76.25,78.19,33993600,36.87
2000-05-18,78.31,78.75,72.44,73.06,46444600,34.45
2000-05-19,72.00,74.00,69.50,70.06,52228800,33.03
2000-05-22,70.06,70.25,62.75,67.81,91156000,31.97
2000-05-23,67.00,68.50,62.38,62.62,58574000,29.53
2000-05-24,61.77,64.50,58.12,64.25,85195200,30.29
2000-05-25,65.50,70.81,65.00,66.44,80958000,31.33
2000-05-26,66.81,69.50,65.06,67.00,28903800,31.59
2000-05-30,68.88,74.19,68.56,74.19,38933000,34.98
2000-05-31,73.25,76.44,71.75,71.88,50939800,33.89
2000-06-01,73.94,77.88,73.50,77.88,53401000,36.72
2000-06-02,80.50,81.50,78.50,80.19,57964800,37.81
2000-06-05,79.25,82.00,79.00,80.94,38507200,38.16
2000-06-06,80.50,81.50,76.25,77.06,40020000,36.34
2000-06-07,76.75,80.25,75.56,80.00,34080800,37.72
2000-06-08,81.88,82.75,80.25,82.38,46768600,38.84
2000-06-09,82.88,83.75,81.88,82.69,32975200,38.99
2000-06-12,82.56,82.81,80.38,80.56,24206000,37.99
2000-06-13,79.98,81.75,78.06,81.69,37229400,38.52
2000-06-14,81.88,82.00,78.75,79.00,33191800,37.25
2000-06-15,79.25,82.62,79.12,82.50,36786800,38.90
2000-06-16,81.88,83.75,81.06,81.88,41904400,38.60
2000-06-19,82.06,86.06,81.25,86.00,51077200,40.55
2000-06-20,86.94,87.62,84.50,86.05,57192600,40.57
2000-06-21,80.81,87.38,80.31,86.19,108053800,40.64
2000-06-22,84.62,85.25,81.38,81.50,42105600,38.43
2000-06-23,80.81,81.48,78.56,79.50,40643000,37.48
2000-06-26,80.25,83.44,79.25,82.69,38942400,38.99
2000-06-27,82.38,83.94,81.69,82.25,28581600,38.78
2000-06-28,82.06,85.00,81.69,82.94,32104800,39.11
2000-06-29,82.06,83.12,79.56,80.88,35751800,38.13
2000-06-30,80.38,84.50,80.00,84.06,38093000,39.64
2000-07-03,81.12,81.75,78.88,80.19,42136200,37.81
2000-07-05,76.81,77.62,72.19,72.31,94634200,34.10
2000-07-06,71.75,75.88,71.75,75.62,50533000,35.66
2000-07-07,75.94,77.00,75.50,75.88,31480200,35.78
2000-07-10,74.62,75.50,72.88,74.12,43957600,34.95
2000-07-11,73.62,75.25,71.12,72.31,42121400,34.10
2000-07-12,73.44,75.12,73.00,74.69,34368400,35.22
2000-07-13,75.75,76.62,74.75,75.75,41625400,35.72
2000-07-14,76.19,76.50,75.12,76.12,31712000,35.89
2000-07-17,75.31,78.00,74.06,76.12,32388800,35.89
2000-07-18,75.69,76.62,74.06,74.19,29967000,34.98
2000-07-19,75.00,75.94,73.00,73.75,31558600,34.77
2000-07-20,74.81,79.00,74.75,78.12,35382000,36.84
2000-07-21,77.44,77.69,75.06,75.44,30925000,35.57
2000-07-24,77.12,78.62,74.94,75.00,38060200,35.36
2000-07-25,75.88,76.50,74.31,76.00,27118200,35.83
2000-07-26,74.81,78.00,74.06,76.75,31826400,36.19
2000-07-27,75.94,78.00,75.00,75.06,32539000,35.39
2000-07-28,75.12,76.44,71.06,72.38,33203400,34.13
2000-07-31,71.75,75.50,71.38,75.19,34406400,35.45
2000-08-01,75.19,75.88,72.88,73.12,30190800,34.48
2000-08-02,73.00,75.25,72.38,73.12,30315000,34.48
2000-08-03,72.81,77.50,71.62,77.44,44941200,36.51
2000-08-04,78.31,82.31,78.12,81.56,73211600,38.46
2000-08-07,80.88,82.38,80.75,81.88,40751400,38.60
2000-08-08,81.00,83.25,80.81,83.00,34931800,39.13
2000-08-09,83.50,84.28,81.19,81.38,30846000,38.37
2000-08-10,81.44,82.38,80.00,80.06,24436000,37.75
2000-08-11,79.94,81.94,79.25,81.12,22106800,38.25
2000-08-14,80.19,82.56,79.88,82.38,21862200,38.84
2000-08-15,81.94,83.56,81.12,81.25,31208800,38.31
2000-08-16,81.38,82.25,81.06,81.19,22698200,38.28
2000-08-17,80.88,84.06,80.81,83.94,30085000,39.58
2000-08-18,83.50,84.75,81.12,81.31,31121200,38.34
2000-08-21,82.12,83.38,80.77,83.19,20295600,39.22
2000-08-22,82.88,84.19,82.19,83.56,23251600,39.40
2000-08-23,82.94,83.12,81.00,82.88,25104800,39.08
2000-08-24,82.88,85.06,82.69,84.69,40413200,39.93
2000-08-25,84.69,86.81,84.50,84.62,26866600,39.90
2000-08-28,85.00,87.94,84.94,86.75,25833600,40.90
2000-08-29,86.81,89.27,86.56,87.75,37678600,41.37
2000-08-30,87.69,88.81,87.12,88.25,27073400,41.61
2000-08-31,88.44,91.00,88.44,90.94,39840000,42.88
2000-09-01,92.20,92.94,90.88,92.62,30417800,43.67
2000-09-05,92.38,92.81,90.56,91.06,25535800,42.94
2000-09-06,91.38,91.75,89.06,89.25,38473000,42.08
2000-09-07,90.12,91.75,89.50,91.19,28559000,43.00
2000-09-08,90.81,90.88,86.50,86.56,34569400,40.81
2000-09-11,86.06,86.75,82.38,83.44,41459600,39.34
2000-09-12,83.00,85.31,79.06,79.38,49606000,37.43
2000-09-13,77.75,82.75,76.94,81.81,68132400,38.57
2000-09-14,86.38,86.62,82.25,84.94,64170600,40.05
2000-09-15,81.12,82.88,78.00,78.31,122939600,36.92
2000-09-18,78.81,80.00,74.75,76.47,72997800,36.06
2000-09-19,77.44,79.75,76.12,79.31,53198600,37.40
2000-09-20,79.00,80.62,77.50,79.94,37352200,37.69
2000-09-21,79.44,80.00,75.50,78.94,27160000,37.22
2000-09-22,75.94,80.75,75.50,80.73,58729400,38.07
2000-09-25,81.12,82.56,78.75,78.75,34748600,37.13
2000-09-26,79.31,81.00,78.62,79.44,39993400,37.46
2000-09-27,80.19,80.94,78.00,79.88,48205600,37.66
2000-09-28,79.50,82.19,78.38,81.48,42188600,38.42
2000-09-29,81.36,81.69,78.25,78.75,34843000,37.13
2000-10-02,79.75,82.12,77.72,78.75,46136800,37.13
2000-10-03,79.81,81.61,68.75,69.50,96827800,32.77
2000-10-04,66.00,70.75,60.50,68.12,204852000,32.12
2000-10-05,68.31,69.62,66.50,68.31,54316000,32.21
2000-10-06,69.25,71.62,66.88,67.62,53378400,31.89
2000-10-09,67.62,68.75,65.12,66.75,40304000,31.47
2000-10-10,66.06,67.25,64.50,64.62,50948400,30.47
2000-10-11,63.00,65.98,62.00,62.25,71687200,29.35
2000-10-12,63.81,64.88,61.75,63.00,50889400,29.70
2000-10-13,31.00,35.75,31.00,35.62,38514000,33.59
2000-10-16,36.56,37.00,33.38,34.56,36480500,32.59
2000-10-17,35.75,35.88,32.88,33.69,29353900,31.77
2000-10-18,31.56,35.38,30.50,33.56,52547900,31.65
2000-10-19,36.00,36.50,34.62,36.38,39321000,34.30
2000-10-20,36.12,36.50,34.94,35.25,34073400,33.24
2000-10-23,35.19,35.25,33.38,34.06,28316300,32.12
2000-10-24,35.00,36.56,34.50,35.81,36713000,33.77
2000-10-25,36.50,36.62,34.00,34.38,33361600,32.42
2000-10-26,34.75,35.88,30.94,34.06,49986600,32.12
2000-10-27,34.50,35.19,33.00,34.19,34962500,32.24
2000-10-30,33.75,34.12,31.38,31.62,35420300,29.82
2000-10-31,32.62,34.75,32.50,33.00,41881000,31.12
2000-11-01,32.81,33.19,30.38,31.38,62692100,29.59
2000-11-02,32.44,32.50,27.25,29.56,149767500,27.88
2000-11-03,31.50,31.75,29.50,30.31,65017500,28.58
2000-11-06,30.69,31.00,27.50,27.94,75551500,26.35
2000-11-07,28.38,28.44,26.50,26.56,58951000,25.05
2000-11-08,27.38,27.50,24.50,24.81,63040000,23.40
2000-11-09,24.69,27.38,24.06,27.19,67280700,25.64
2000-11-10,26.44,26.94,24.88,25.44,54609400,23.99
2000-11-13,25.12,25.88,23.50,24.75,61652800,23.34
2000-11-14,27.38,28.50,26.50,28.38,77494300,26.76
2000-11-15,28.81,29.44,27.70,28.88,50649700,27.23
2000-11-16,28.75,29.81,27.25,27.38,37986600,25.81
2000-11-17,26.94,29.25,25.25,28.81,59636000,27.17
2000-11-20,24.31,25.88,24.00,24.75,89778400,23.34
2000-11-21,24.81,25.62,23.50,23.88,58647400,22.51
2000-11-22,23.62,24.06,22.06,22.31,53315300,21.04
2000-11-24,23.31,24.25,23.12,24.12,22443900,22.75
2000-11-27,25.44,25.81,22.88,23.12,45665200,21.81
2000-11-28,23.50,23.81,22.25,22.66,43075300,21.36
2000-11-29,23.19,23.62,21.81,22.88,75409600,21.57
2000-11-30,21.75,27.62,21.50,26.50,84386200,24.99
2000-12-01,26.38,27.88,25.50,26.44,48663500,24.93
2000-12-04,26.25,28.88,26.19,28.19,40710400,26.58
2000-12-05,29.44,31.50,28.88,31.50,59754700,29.70
2000-12-06,31.19,31.62,29.31,30.19,42125600,28.47
2000-12-07,29.62,29.94,28.12,28.31,41088300,26.70
2000-12-08,30.06,30.62,29.25,30.06,40052600,28.35
2000-12-11,30.50,32.25,30.00,31.94,50279700,30.12
2000-12-12,31.88,32.50,30.41,30.75,26481200,29.00
2000-12-13,31.94,32.00,28.25,28.38,37933600,26.76
2000-12-14,29.25,29.94,27.25,27.50,45894400,25.93
2000-12-15,29.44,30.08,28.19,28.56,120004000,26.93
