Date,Open,High,Low,Close,Volume,OpenInterest
1996-04-12,1.05,1.79,1.02,1.38,17030000,0
1996-04-15,1.49,1.50,1.25,1.34,3300800,0
1996-04-16,1.34,1.34,1.17,1.20,2000666,0
1996-04-17,1.18,1.18,1.03,1.13,1784000,0
1996-04-18,1.26,1.26,1.17,1.22,1136200,0
1996-04-19,1.26,1.28,1.20,1.20,538066,0
1996-04-22,1.21,1.21,1.15,1.18,335066,0
1996-04-23,1.20,1.21,1.17,1.17,179066,0
1996-04-24,1.19,1.21,1.16,1.21,324799,0
1996-04-25,1.25,1.34,1.21,1.30,811599,0
1996-04-26,1.33,1.34,1.30,1.32,315066,0
1996-04-29,1.31,1.33,1.27,1.29,247000,0
1996-04-30,1.30,1.31,1.23,1.24,208466,0
1996-05-01,1.26,1.32,1.25,1.32,203399,0
1996-05-02,1.31,1.39,1.31,1.37,405466,0
1996-05-03,1.34,1.35,1.30,1.33,254866,0
1996-05-06,1.35,1.35,1.22,1.26,342266,0
1996-05-07,1.25,1.28,1.24,1.27,232066,0
1996-05-08,1.27,1.28,1.21,1.26,262000,0
1996-05-09,1.25,1.28,1.24,1.28,168000,0
1996-05-10,1.28,1.32,1.27,1.30,244799,0
1996-05-13,1.31,1.31,1.25,1.26,114466,0
1996-05-14,1.28,1.29,1.23,1.23,166800,0
1996-05-15,1.25,1.28,1.24,1.26,91666,0
1996-05-16,1.24,1.27,1.24,1.26,141266,0
1996-05-17,1.26,1.27,1.24,1.25,102000,0
1996-05-20,1.25,1.27,1.21,1.21,177399,0
1996-05-21,1.21,1.21,1.16,1.17,168666,0
1996-05-22,1.17,1.17,1.12,1.15,106800,0
1996-05-23,1.15,1.23,1.15,1.23,121600,0
1996-05-24,1.23,1.25,1.20,1.23,103800,0
1996-05-28,1.22,1.23,1.19,1.21,92666,0
1996-05-29,1.20,1.20,1.12,1.15,155266,0
1996-05-30,1.15,1.21,1.15,1.18,126600,0
1996-05-31,1.20,1.20,1.14,1.17,72266,0
1996-06-03,1.16,1.17,1.14,1.14,47600,0
1996-06-04,1.14,1.17,1.13,1.13,102866,0
1996-06-05,1.15,1.15,1.12,1.13,48600,0
1996-06-06,1.19,1.20,1.15,1.16,161400,0
1996-06-07,1.14,1.14,1.10,1.12,144066,0
1996-06-10,1.12,1.12,1.09,1.10,77066,0
1996-06-11,1.09,1.10,1.06,1.06,176800,0
1996-06-12,1.07,1.11,1.07,1.08,108666,0
1996-06-13,1.07,1.09,1.02,1.06,236200,0
1996-06-14,1.03,1.06,1.03,1.03,85266,0
1996-06-17,1.03,1.04,0.94,0.96,135400,0
1996-06-18,0.91,0.93,0.85,0.85,231866,0
1996-06-19,0.88,0.90,0.85,0.86,168066,0
1996-06-20,0.88,0.91,0.85,0.91,123266,0
1996-06-21,0.93,0.95,0.91,0.93,106000,0
1996-06-24,0.93,0.93,0.91,0.91,26400,0
1996-06-25,0.91,0.93,0.90,0.91,41400,0
1996-06-26,0.90,0.92,0.86,0.88,62000,0
1996-06-27,0.89,0.92,0.76,0.76,307999,0
1996-06-28,0.81,0.88,0.79,0.88,169466,0
1996-07-01,0.85,0.93,0.85,0.91,95266,0
1996-07-02,0.93,0.93,0.89,0.89,41000,0
1996-07-03,0.91,0.91,0.85,0.88,57666,0
1996-07-05,0.83,0.86,0.82,0.83,31200,0
1996-07-08,0.83,0.83,0.80,0.83,50466,0
1996-07-09,0.81,0.83,0.77,0.77,88000,0
1996-07-10,0.78,0.78,0.67,0.68,245800,0
1996-07-11,0.67,0.72,0.65,0.72,146266,0
1996-07-12,0.71,0.75,0.71,0.73,70666,0
1996-07-15,0.75,0.77,0.73,0.74,79200,0
1996-07-16,0.74,0.77,0.72,0.75,155266,0
1996-07-17,0.76,0.80,0.74,0.80,77066,0
1996-07-18,0.81,0.83,0.78,0.80,67000,0
1996-07-19,0.83,0.83,0.78,0.79,51466,0
1996-07-22,0.79,0.79,0.73,0.75,47200,0
1996-07-23,0.73,0.75,0.68,0.68,78400,0
1996-07-24,0.68,0.68,0.65,0.66,37000,0
1996-07-25,0.66,0.70,0.66,0.68,53466,0
1996-07-26,0.68,0.69,0.66,0.69,25000,0
1996-07-29,0.68,0.69,0.67,0.67,15466,0
1996-07-30,0.68,0.73,0.68,0.71,28600,0
1996-07-31,0.71,0.75,0.71,0.75,38800,0
1996-08-01,0.75,0.79,0.73,0.79,57866,0
1996-08-02,0.77,0.80,0.77,0.79,48666,0
1996-08-05,0.79,0.81,0.79,0.79,21266,0
1996-08-06,0.80,0.80,0.76,0.76,34066,0
1996-08-07,0.74,0.76,0.74,0.75,40466,0
1996-08-08,0.75,0.77,0.74,0.77,72866,0
1996-08-09,0.72,0.74,0.69,0.74,76400,0
1996-08-12,0.73,0.73,0.71,0.72,36000,0
1996-08-13,0.71,0.85,0.71,0.83,436000,0
1996-08-14,0.84,0.86,0.83,0.85,202200,0
1996-08-15,0.85,0.85,0.82,0.83,49066,0
1996-08-16,0.81,0.83,0.80,0.81,36000,0
1996-08-19,0.81,0.82,0.81,0.82,17866,0
1996-08-20,0.82,0.82,0.80,0.80,20600,0
1996-08-21,0.80,0.80,0.76,0.78,28666,0
1996-08-22,0.78,0.83,0.76,0.83,80066,0
1996-08-23,0.82,0.84,0.82,0.82,42666,0
1996-08-26,0.84,0.84,0.82,0.82,16200,0
1996-08-27,0.82,0.85,0.82,0.84,79066,0
1996-08-28,0.84,0.92,0.84,0.88,216400,0
1996-08-29,0.87,0.88,0.82,0.82,82800,0
1996-08-30,0.83,0.84,0.81,0.82,38066,0
1996-09-03,0.79,0.81,0.78,0.79,42200,0
1996-09-04,0.79,0.80,0.78,0.79,22000,0
1996-09-05,0.77,0.78,0.77,0.77,6200,0
1996-09-06,0.76,0.78,0.76,0.77,31400,0
1996-09-09,0.76,0.79,0.76,0.78,34800,0
1996-09-10,0.78,0.80,0.77,0.77,37800,0
1996-09-11,0.78,0.79,0.77,0.79,52800,0
1996-09-12,0.78,0.81,0.78,0.81,57266,0
1996-09-13,0.83,0.87,0.82,0.86,133066,0
1996-09-16,0.86,0.88,0.85,0.86,57600,0
1996-09-17,0.88,0.90,0.86,0.90,111066,0
1996-09-18,0.90,0.90,0.85,0.86,82400,0
1996-09-19,0.86,0.90,0.85,0.90,73400,0
1996-09-20,0.90,1.00,0.89,1.00,310866,0
1996-09-23,0.99,1.03,0.99,0.99,222200,0
1996-09-24,0.99,0.99,0.94,0.95,157266,0
1996-09-25,0.94,0.94,0.90,0.91,85000,0
1996-09-26,0.90,0.92,0.90,0.91,44466,0
1996-09-27,0.91,0.92,0.90,0.91,28666,0
1996-09-30,0.91,0.91,0.89,0.89,35400,0
1996-10-01,0.88,0.89,0.80,0.82,171066,0
1996-10-02,0.85,0.94,0.85,0.91,242800,0
1996-10-03,0.92,0.98,0.92,0.94,180200,0
1996-10-04,0.96,0.97,0.92,0.92,85266,0
1996-10-07,0.92,0.94,0.92,0.93,29800,0
1996-10-08,0.93,0.94,0.87,0.87,95800,0
1996-10-09,0.87,0.94,0.87,0.94,98600,0
1996-10-10,0.95,0.95,0.85,0.85,361399,0
1996-10-11,0.85,0.87,0.85,0.86,99266,0
1996-10-14,0.87,0.90,0.86,0.90,268866,0
1996-10-15,0.90,0.91,0.88,0.90,161866,0
1996-10-16,0.89,0.90,0.88,0.88,112600,0
1996-10-17,0.88,0.92,0.88,0.92,145999,0
1996-10-18,0.93,0.93,0.91,0.92,107600,0
1996-10-21,0.91,0.93,0.91,0.91,93000,0
1996-10-22,0.91,0.92,0.89,0.89,77866,0
1996-10-23,0.89,0.90,0.88,0.88,62200,0
1996-10-24,0.87,0.88,0.87,0.87,51866,0
1996-10-25,0.87,0.87,0.85,0.85,82666,0
1996-10-28,0.85,0.86,0.85,0.86,23266,0
1996-10-29,0.86,0.86,0.85,0.85,26066,0
1996-10-30,0.85,0.86,0.84,0.84,40400,0
1996-10-31,0.83,0.84,0.81,0.82,68600,0
1996-11-01,0.81,0.82,0.81,0.81,14200,0
1996-11-04,0.81,0.82,0.79,0.79,41466,0
1996-11-05,0.79,0.80,0.73,0.76,124266,0
1996-11-06,0.75,0.77,0.74,0.75,69000,0
1996-11-07,0.74,0.77,0.74,0.76,38866,0
1996-11-08,0.76,0.81,0.76,0.81,90800,0
1996-11-11,0.81,0.84,0.81,0.84,97866,0
1996-11-12,0.83,0.84,0.82,0.82,29666,0
1996-11-13,0.82,0.82,0.78,0.79,55866,0
1996-11-14,0.79,0.79,0.76,0.76,70066,0
1996-11-15,0.77,0.78,0.76,0.77,49666,0
1996-11-18,0.76,0.77,0.74,0.76,72066,0
1996-11-19,0.76,0.76,0.74,0.74,89066,0
1996-11-20,0.74,0.76,0.73,0.74,42600,0
1996-11-21,0.73,0.74,0.72,0.72,66200,0
1996-11-22,0.73,0.73,0.72,0.73,46866,0
1996-11-25,0.73,0.80,0.72,0.80,280600,0
1996-11-26,0.80,0.82,0.79,0.79,142466,0
1996-11-27,0.79,0.79,0.77,0.77,44066,0
1996-11-29,0.77,0.80,0.77,0.80,33466,0
1996-12-02,0.78,0.80,0.78,0.79,45066,0
1996-12-03,0.78,0.86,0.78,0.83,380000,0
1996-12-04,0.83,0.85,0.82,0.82,68066,0
