Date,Open,High,Low,Close,Adj Close,Volume
2003-01-02,8.295000,8.830000,8.250000,17.600000,8.800000,19640400
2003-01-03,8.750000,9.175000,8.675000,18.100000,9.050000,15090600
2003-01-06,8.925000,9.595000,8.890000,18.940001,9.470000,21209400
2003-01-07,8.935000,9.650000,8.930000,19.150000,9.575000,28092600
2003-01-08,9.435000,9.650000,9.280000,18.750000,9.375000,19244600
2003-01-09,9.460000,9.745000,9.400000,19.440001,9.720000,15946400
2003-01-10,9.400000,10.000000,9.400000,20.000000,10.000000,26122600
2003-01-13,10.165000,10.195000,9.675000,19.670000,9.835000,27927600
2003-01-14,9.780000,9.920000,9.650000,19.700001,9.850000,16060600
2003-01-15,9.985000,10.090000,9.745000,19.580000,9.790000,44611000
2003-01-16,9.150000,9.745000,9.055000,18.750000,9.375000,58419400
2003-01-17,9.300000,9.490000,9.180000,18.370001,9.185000,22038600
2003-01-21,9.105000,9.220000,8.875000,17.920000,8.960000,20121600
2003-01-22,8.945000,9.375000,8.855000,18.480000,9.240000,23056600
2003-01-23,9.425000,9.565000,9.280000,19.080000,9.540000,18093400
2003-01-24,9.530000,9.585000,9.325000,18.780001,9.390000,23468400
2003-01-27,9.090000,9.385000,9.020000,18.110001,9.055000,18864600
2003-01-28,9.175000,9.360000,9.015000,18.620001,9.310000,17630800
2003-01-29,9.205000,9.485000,9.080000,18.830000,9.415000,16126800
2003-01-30,9.335000,9.425000,9.040000,18.090000,9.045000,10401000
2003-01-31,8.910000,9.190000,8.900000,18.200001,9.100000,13286000
2003-02-03,9.025000,9.200000,8.965000,17.969999,8.985000,9586600
2003-02-04,8.915000,8.930000,8.750000,17.750000,8.875000,11921400
2003-02-05,8.915000,9.075000,8.825000,17.790001,8.895000,12986800
2003-02-06,8.860000,9.090000,8.775000,17.930000,8.965000,10670000
2003-02-07,8.885000,8.925000,8.650000,17.540001,8.770000,14120200
2003-02-10,8.785000,8.985000,8.730000,17.920000,8.960000,10486400
2003-02-11,9.000000,9.245000,8.990000,18.290001,9.145000,14895800
2003-02-12,9.100000,9.300000,9.000000,18.170000,9.085000,12368000
2003-02-13,9.345000,9.365000,8.780000,18.049999,9.025000,26697800
2003-02-14,9.155000,9.455000,9.045000,18.900000,9.450000,15901600
2003-02-18,9.425000,9.800000,9.415000,19.490000,9.745000,17076400
2003-02-19,9.550000,9.795000,9.515000,19.379999,9.690000,12852400
2003-02-20,9.705000,9.875000,9.655000,19.719999,9.860000,13858000
2003-02-21,9.750000,9.950000,9.605000,19.830000,9.915000,12717200
2003-02-24,9.760000,9.980000,9.760000,19.670000,9.835000,9690400
2003-02-25,9.725000,10.000000,9.655000,20.000000,10.000000,11824200
2003-02-26,9.790000,9.980000,9.790000,19.709999,9.855000,15627400
2003-02-27,9.905000,10.085000,9.805000,20.080000,10.040000,14893600
2003-02-28,10.015000,10.475000,9.990000,20.850000,10.425000,23457000
2003-03-03,10.395000,10.500000,9.950000,19.920000,9.960000,26211600
2003-03-04,9.960000,10.080000,9.875000,19.870001,9.935000,20929000
2003-03-05,9.990000,10.060000,9.865000,19.900000,9.950000,12279000
2003-03-06,9.915000,9.915000,9.600000,19.440001,9.720000,21565200
2003-03-07,9.625000,9.835000,9.400000,19.620001,9.810000,20720200
2003-03-10,9.695000,9.825000,9.545000,19.190001,9.595000,11862800
2003-03-11,9.630000,9.670000,9.410000,18.959999,9.480000,12019800
2003-03-12,9.470000,9.610000,9.235000,19.190001,9.595000,13683400
2003-03-13,9.845000,10.240000,9.725000,20.250000,10.125000,23618400
2003-03-14,10.250000,10.415000,10.025000,20.690001,10.345000,18290000
2003-03-17,10.060000,11.200000,10.045000,22.379999,11.190000,42114000
2003-03-18,10.925000,11.050000,10.750000,21.969999,10.985000,25790000
2003-03-19,11.025000,11.185000,10.700000,22.209999,11.105000,24803000
2003-03-20,11.015000,11.630000,10.900000,22.850000,11.425000,29435600
2003-03-21,11.790000,12.095000,11.465000,23.969999,11.985000,36211200
2003-03-24,11.415000,11.860000,11.265000,23.350000,11.675000,33779000
2003-03-25,11.680000,12.270000,11.645000,23.620001,11.810000,35374400
2003-03-26,12.245000,12.495000,11.775000,24.760000,12.380000,37575800
2003-03-27,12.350000,12.495000,12.125000,24.410000,12.205000,36248400
2003-03-28,12.140000,12.375000,12.115000,24.379999,12.190000,21920600
2003-03-31,11.910000,12.195000,11.825000,24.020000,12.010000,27397200
2003-04-01,11.650000,11.800000,11.260000,22.790001,11.395000,47505200
2003-04-02,11.520000,11.955000,11.335000,23.740000,11.870000,37083400
2003-04-03,12.025000,12.390000,11.660000,24.340000,12.170000,27701400
2003-04-04,12.025000,12.095000,11.555000,24.049999,12.025000,49753200
2003-04-07,12.510000,12.625000,11.970000,24.000000,12.000000,35569400
