Date,Open,High,Low,Close,Adj Close,Volume
2014-01-02,40.369999,40.490002,39.310001,39.590000,39.590000,21504200
2014-01-03,40.160000,40.439999,39.820000,40.119999,40.119999,15755200
2014-01-06,40.049999,40.320000,39.750000,39.930000,39.930000,12467500
2014-01-07,40.080002,41.200001,40.080002,40.919998,40.919998,14100000
2014-01-08,41.290001,41.720001,41.020000,41.020000,41.020000,18638200
2014-01-09,41.330002,41.349998,40.610001,40.919998,40.919998,12897300
2014-01-10,40.950001,41.349998,40.820000,41.230000,41.230000,8721700
2014-01-13,41.160000,41.220001,39.799999,39.990002,39.990002,16047200
2014-01-14,40.209999,41.139999,40.040001,41.139999,41.139999,14473900
2014-01-15,41.060001,41.310001,40.759998,41.070000,41.070000,9475500
2014-01-16,40.430000,40.750000,40.110001,40.340000,40.340000,16348200
2014-01-17,40.119999,40.439999,39.470001,40.009998,40.009998,19262500
2014-01-21,39.980000,40.049999,38.860001,39.520000,39.520000,21436400
2014-01-22,39.660000,40.400002,39.320000,40.180000,40.180000,12994600
2014-01-23,39.310001,39.770000,39.139999,39.389999,39.389999,15384300
2014-01-24,38.669998,38.980000,37.619999,37.910000,37.910000,26309000
2014-01-27,37.599998,37.939999,36.619999,36.650002,36.650002,26728000
2014-01-28,36.830002,38.320000,36.520000,38.220001,38.220001,39765300
2014-01-29,35.770000,36.310001,34.820000,34.889999,34.889999,67190500
2014-01-30,34.889999,35.810001,34.450001,35.310001,35.310001,32244700
2014-01-31,34.689999,36.330002,34.549999,36.009998,36.009998,30072400
2014-02-03,35.939999,36.009998,34.660000,34.900002,34.900002,22195200
2014-02-04,35.110001,35.860001,34.860001,35.660000,35.660000,21082500
2014-02-05,35.599998,35.939999,34.990002,35.490002,35.490002,14022900
2014-02-06,35.650002,36.750000,35.610001,36.240002,36.240002,14250000
2014-02-07,36.650002,37.270000,36.240002,37.230000,37.230000,16178500
2014-02-10,38.000000,38.130001,37.250000,37.759998,37.759998,17642900
2014-02-11,38.150002,38.860001,38.090000,38.500000,38.500000,18348000
2014-02-12,38.599998,38.910000,38.029999,38.110001,38.110001,14088500
2014-02-13,37.919998,38.689999,37.790001,38.520000,38.520000,12088100
2014-02-14,38.430000,38.450001,38.110001,38.230000,38.230000,9975800
2014-02-18,38.310001,38.590000,38.090000,38.310001,38.310001,12096400
2014-02-19,38.060001,38.330002,37.680000,37.810001,37.810001,15851900
2014-02-20,37.830002,38.040001,37.299999,37.790001,37.790001,11155900
2014-02-21,37.900002,37.959999,37.220001,37.290001,37.290001,12351900
2014-02-24,37.230000,37.709999,36.820000,37.419998,37.419998,15738900
2014-02-25,37.480000,37.580002,37.020000,37.259998,37.259998,9756900
2014-02-26,37.349998,38.099998,37.340000,37.619999,37.619999,15778900
2014-02-27,37.799999,38.480000,37.740002,38.470001,38.470001,15489400
2014-02-28,38.549999,39.380001,38.220001,38.669998,38.669998,16957100
2014-03-03,37.650002,38.660000,37.430000,38.250000,38.250000,14714700
2014-03-04,38.759998,39.790001,38.680000,39.630001,39.630001,16139400
2014-03-05,39.830002,40.150002,39.189999,39.500000,39.500000,12536800
2014-03-06,39.599998,39.980000,39.500000,39.660000,39.660000,10626700
2014-03-07,39.709999,39.910000,38.450001,38.700001,38.700001,14455500
2014-03-10,38.630001,38.779999,37.910000,38.049999,38.049999,11819200
2014-03-11,38.250000,38.299999,37.430000,37.560001,37.560001,12592300
2014-03-12,37.209999,37.610001,36.480000,37.500000,37.500000,14794700
2014-03-13,38.049999,38.419998,36.810001,37.230000,37.230000,21179700
2014-03-14,36.689999,38.189999,36.450001,37.599998,37.599998,30862300
2014-03-17,39.000000,39.360001,38.610001,39.110001,39.110001,29698300
2014-03-18,39.000000,39.509998,38.799999,39.450001,39.450001,16934700
2014-03-19,39.660000,39.939999,38.509998,38.610001,38.610001,19324600
2014-03-20,38.369999,38.470001,37.419998,37.770000,37.770000,19517000
2014-03-21,38.099998,38.270000,37.730000,37.939999,37.939999,16044200
2014-03-24,38.000000,38.040001,36.279999,36.680000,36.680000,29589000
2014-03-25,37.000000,37.070000,35.860001,35.930000,35.930000,31715100
2014-03-26,36.240002,36.740002,35.450001,35.450001,35.450001,20938800
