Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,15.92,15.98,15.72,15.86,6502300,15.44989
2014-01-03,15.89,15.92,15.62,15.67,6483300,15.2648
2014-01-06,15.83,16.00,15.68,15.88,10237300,15.46937
2014-01-07,16.04,16.20,15.93,16.14,8332200,15.72265
2014-01-08,16.20,16.44,16.14,16.36,7704800,15.93696
2014-01-09,16.11,16.14,15.70,15.75,7304300,15.34273
2014-01-10,15.80,15.91,15.59,15.73,5462300,15.32325
2014-01-13,15.73,15.83,15.33,15.36,6083300,14.96282
2014-01-14,15.44,15.87,15.37,15.84,6045700,15.4304
2014-01-15,15.91,16.07,15.84,16.01,4376100,15.59601
2014-01-16,16.01,16.09,15.94,16.06,5516300,15.64472
2014-01-17,16.06,16.25,15.89,15.99,8510000,15.57653
2014-01-21,16.01,16.15,15.88,16.05,6151900,15.63497
2014-01-22,16.08,16.10,15.84,16.03,8448500,15.61549
2014-01-23,15.98,16.15,15.85,15.97,4625700,15.55704
2014-01-24,15.84,15.90,15.56,15.56,6167400,15.15765
2014-01-27,15.56,15.78,15.37,15.46,5845300,15.06023
2014-01-28,15.43,15.62,15.37,15.61,4199900,15.20635
2014-01-29,15.55,15.64,15.45,15.46,4073600,15.06023
2014-01-30,15.55,15.75,15.50,15.72,5072400,15.31351
2014-01-31,15.50,15.79,15.49,15.70,8383700,15.29402
2014-02-03,15.81,15.83,15.43,15.49,10793200,15.08945
2014-02-04,15.48,15.61,15.40,15.58,7017300,15.17713
2014-02-05,15.47,15.52,15.32,15.44,5366900,15.04075
2014-02-06,15.46,15.68,15.44,15.64,4209500,15.23558
2014-02-07,15.68,15.89,15.54,15.87,3931200,15.45963
2014-02-10,15.85,16.13,15.84,15.92,8109300,15.50834
2014-02-11,16.01,16.29,15.93,16.25,5884600,15.8298
2014-02-12,16.30,16.95,16.30,16.83,18613200,16.39481
2014-02-13,17.25,17.46,16.95,17.36,22570900,16.9111
2014-02-14,17.20,17.95,17.19,17.91,20438400,17.44688
2014-02-18,17.92,17.98,17.75,17.90,10724700,17.43714
2014-02-19,17.90,18.30,17.82,18.14,11258500,17.67093
2014-02-20,18.18,18.82,18.15,18.78,9952200,18.29438
2014-02-21,18.75,18.99,18.52,18.64,11276300,18.158
2014-02-24,18.60,19.05,18.43,18.91,10077800,18.42102
2014-02-25,18.80,18.88,18.54,18.74,6054600,18.33784
2014-02-26,18.70,18.98,18.65,18.71,9022100,18.30849
2014-02-27,18.71,18.90,18.45,18.50,9721200,18.10299
2014-02-28,18.40,18.58,18.11,18.38,8042300,17.98557
2014-03-03,17.97,18.29,17.81,18.29,9398700,17.8975
2014-03-04,18.38,18.60,18.35,18.48,6508600,18.08342
2014-03-05,18.46,18.65,18.38,18.64,6036800,18.23999
2014-03-06,18.67,18.77,18.35,18.38,7253600,17.98557
2014-03-07,18.46,18.49,18.22,18.36,6711300,17.966
2014-03-10,18.30,18.38,18.01,18.09,7522200,17.70179
2014-03-11,18.18,18.43,18.12,18.27,7430500,17.87793
2014-03-12,18.18,18.43,18.11,18.32,5985700,17.92686
2014-03-13,18.36,18.43,17.65,17.74,9629300,17.3593
2014-03-14,17.56,17.98,17.56,17.82,11501200,17.43759
2014-03-17,17.87,18.00,17.80,17.82,7491400,17.43759
2014-03-18,17.89,18.36,17.81,18.24,7347600,17.84857
2014-03-19,18.38,18.91,18.33,18.56,9154200,18.16171
2014-03-20,18.46,18.73,18.38,18.57,4795000,18.17149
2014-03-21,18.73,18.88,18.44,18.54,14152900,18.14214
2014-03-24,18.55,18.70,18.18,18.45,7652400,18.05407
2014-03-25,18.65,18.67,18.31,18.45,7610600,18.05407
2014-03-26,18.62,18.97,17.87,18.03,13943900,17.64308
2014-03-27,17.99,18.14,17.59,17.79,13518200,17.40823
2014-03-28,17.76,18.01,17.71,17.90,9970500,17.51587
2014-03-31,17.93,18.09,17.81,17.91,6835100,17.52566
2014-04-01,18.48,18.87,18.26,18.65,16406800,18.24978
2014-04-02,18.65,18.69,18.45,18.53,5998700,18.13235
2014-04-03,18.57,19.18,18.56,18.73,14988700,18.32806
2014-04-04,18.83,18.94,18.07,18.15,9200800,17.76051
2014-04-07,18.16,18.56,18.06,18.21,10714400,17.81922
2014-04-08,18.21,18.91,18.18,18.86,11767300,18.45527
2014-04-09,18.95,19.11,18.69,18.84,10549200,18.4357
2014-04-10,18.76,19.02,18.32,18.38,9318700,17.98557
2014-04-11,18.24,18.52,17.88,18.12,8827800,17.73115
2014-04-14,18.24,18.39,18.12,18.32,7254600,17.92686
2014-04-15,18.34,18.55,18.16,18.45,7615900,18.05407
2014-04-16,18.54,18.56,18.26,18.49,5878400,18.09321
2014-04-17,18.42,18.73,18.38,18.56,3838300,18.16171
2014-04-21,18.57,18.76,18.45,18.71,2925100,18.30849
2014-04-22,18.74,18.99,18.64,18.87,6378000,18.46506
2014-04-23,18.90,19.14,18.87,19.09,6539500,18.68033
2014-04-24,19.22,19.46,19.22,19.26,9787300,18.84669
2014-04-25,19.22,19.40,18.69,18.73,7840000,18.32806
2014-04-28,18.88,18.98,18.42,18.65,5669700,18.24978
2014-04-29,18.72,18.76,18.48,18.69,4282500,18.28892
2014-04-30,18.66,18.68,18.43,18.47,7643500,18.07364
2014-05-01,18.75,18.79,18.42,18.57,4952600,18.17149
2014-05-02,18.66,18.66,18.32,18.43,3909400,18.0345
2014-05-05,18.41,18.77,18.39,18.63,5981500,18.2302
2014-05-06,18.81,18.97,18.20,18.25,10404700,17.85836
2014-05-07,18.25,18.42,18.07,18.27,7347500,17.87793
2014-05-08,18.20,18.79,18.11,18.50,10818200,18.10299
2014-05-09,17.94,18.11,17.71,18.05,13488300,17.66265
2014-05-12,18.09,18.62,18.08,18.58,7496400,18.18128
2014-05-13,18.33,18.63,18.22,18.28,5527600,17.88772
2014-05-14,18.29,18.36,18.09,18.10,5358000,17.71158
2014-05-15,18.06,18.16,17.82,18.00,8147400,17.61372
2014-05-16,17.86,18.09,17.86,17.96,7099000,17.57458
2014-05-19,18.15,18.64,18.07,18.54,9001900,18.14214
2014-05-20,18.46,18.51,18.15,18.24,6405000,17.93078
2014-05-21,18.31,18.47,18.13,18.24,5417800,17.93078
2014-05-22,18.20,18.42,18.20,18.32,3259100,18.00942
2014-05-23,18.42,18.58,18.31,18.49,4566400,18.17654
2014-05-27,18.60,18.82,18.54,18.82,5242000,18.50095
2014-05-28,18.89,19.10,18.71,18.98,5616900,18.65824
2014-05-29,18.97,19.13,18.91,18.95,4297100,18.62874
2014-05-30,18.95,19.05,18.85,19.00,5978200,18.6779
2014-06-02,19.06,19.18,18.78,18.94,4537500,18.61891
2014-06-03,18.98,19.00,18.61,18.86,6080300,18.54027
2014-06-04,18.81,19.02,18.80,18.88,4030900,18.55993
2014-06-05,18.91,19.02,18.80,18.96,4717400,18.63857
2014-06-06,19.05,19.20,18.98,19.03,4026300,18.70739
2014-06-09,19.01,19.23,18.88,19.05,6186400,18.72705
2014-06-10,18.98,19.24,18.90,19.15,5440200,18.82535
2014-06-11,19.08,19.45,19.08,19.40,6655700,19.07112
2014-06-12,19.40,19.61,19.23,19.52,8428700,19.18908
2014-06-13,19.72,19.73,19.35,19.54,5696300,19.20874
2014-06-16,19.45,19.61,19.31,19.48,4965500,19.14976
2014-06-17,19.50,19.69,19.40,19.61,3940200,19.27756
2014-06-18,19.56,19.68,19.38,19.59,5388400,19.25789
2014-06-19,19.23,19.33,19.00,19.14,11864800,18.81552
2014-06-20,19.19,19.26,18.78,18.93,8828700,18.60908
2014-06-23,18.68,18.72,18.46,18.71,10355000,18.39281
2014-06-24,18.68,18.83,18.34,18.42,6894500,18.10773
2014-06-25,18.47,18.62,18.30,18.61,5385500,18.29451
2014-06-26,18.61,18.62,18.30,18.36,6422700,18.04875
2014-06-27,18.34,18.49,18.23,18.38,7570500,18.06841
2014-06-30,18.31,18.59,18.31,18.54,4512800,18.2257
2014-07-01,18.52,18.86,18.46,18.75,8029500,18.43213
2014-07-02,18.68,18.76,18.57,18.68,4482100,18.36332
2014-07-03,18.51,18.90,18.51,18.85,3422300,18.53044
2014-07-07,18.88,18.89,18.67,18.70,3187400,18.38298
2014-07-08,18.65,18.73,18.37,18.55,5548500,18.23552
2014-07-09,18.71,19.19,18.57,19.11,9691700,18.78603
2014-07-10,18.75,19.09,18.60,19.01,6657700,18.68773
2014-07-11,19.03,19.11,18.96,19.05,4779700,18.72705
2014-07-14,19.13,19.34,19.06,19.29,6815900,18.96298
2014-07-15,19.32,19.42,19.19,19.37,9886000,19.04162
2014-07-16,19.45,19.60,19.24,19.35,7993200,19.02196
2014-07-17,19.13,19.50,19.13,19.30,8120800,18.97281
2014-07-18,18.90,19.05,18.41,18.44,14195400,18.12739
2014-07-21,18.37,18.68,18.37,18.55,6084100,18.23552
2014-07-22,18.69,18.79,18.43,18.47,7470400,18.15688
2014-07-23,18.48,18.49,18.06,18.08,7433800,17.77349
2014-07-24,18.18,18.23,17.98,18.11,6364400,17.80299
2014-07-25,18.05,18.09,17.76,17.79,6653300,17.48841
