Date,Time,Open,High,Low,Close,Volume,OpenInterest
2014-01-02,09:05:00,3116.34,3125.05,3116.34,3124.96,0,0
2014-01-02,09:10:00,3125.04,3127.12,3123.81,3127.12,0,0
2014-01-02,09:15:00,3126.38,3126.38,3120.82,3122.23,0,0
2014-01-02,09:20:00,3122.19,3124.18,3120.97,3121.69,0,0
2014-01-02,09:25:00,3121.32,3122.43,3119.36,3122.38,0,0
2014-01-02,09:30:00,3122.39,3122.39,3118.39,3118.39,0,0
2014-01-02,09:35:00,3118.60,3118.60,3112.29,3112.37,0,0
2014-01-02,09:40:00,3112.51,3112.75,3111.40,3112.22,0,0
2014-01-02,09:45:00,3112.45,3112.45,3096.58,3097.24,0,0
2014-01-02,09:50:00,3098.24,3102.17,3098.10,3100.88,0,0
2014-01-02,09:55:00,3100.51,3103.50,3100.01,3103.50,0,0
2014-01-02,10:00:00,3104.15,3105.92,3101.86,3102.79,0,0
2014-01-02,10:05:00,3103.21,3105.84,3103.21,3105.58,0,0
2014-01-02,10:10:00,3105.62,3105.62,3100.27,3101.90,0,0
2014-01-02,10:15:00,3101.83,3101.83,3098.95,3099.75,0,0
2014-01-02,10:20:00,3099.54,3099.54,3085.00,3087.39,0,0
2014-01-02,10:25:00,3088.58,3093.93,3088.58,3093.20,0,0
2014-01-02,10:30:00,3093.95,3095.62,3091.53,3092.83,0,0
2014-01-02,10:35:00,3092.78,3092.78,3083.21,3084.79,0,0
2014-01-02,10:40:00,3085.54,3087.94,3085.54,3087.75,0,0
2014-01-02,10:45:00,3089.13,3091.59,3088.85,3089.94,0,0
2014-01-02,10:50:00,3089.88,3089.88,3086.88,3086.88,0,0
2014-01-02,10:55:00,3086.39,3089.03,3083.81,3086.36,0,0
2014-01-02,11:00:00,3086.30,3088.60,3085.83,3085.83,0,0
2014-01-02,11:05:00,3086.03,3087.70,3085.30,3087.67,0,0
2014-01-02,11:10:00,3087.44,3088.20,3087.19,3087.57,0,0
2014-01-02,11:15:00,3087.51,3088.22,3086.03,3086.03,0,0
2014-01-02,11:20:00,3085.47,3086.34,3083.50,3083.50,0,0
2014-01-02,11:25:00,3083.06,3085.01,3082.90,3084.18,0,0
2014-01-02,11:30:00,3084.07,3084.94,3082.62,3083.51,0,0
2014-01-02,11:35:00,3086.89,3086.98,3082.58,3086.13,0,0
2014-01-02,11:40:00,3086.17,3086.43,3085.29,3086.43,0,0
2014-01-02,11:45:00,3086.33,3086.33,3084.63,3085.47,0,0
2014-01-02,11:50:00,3085.56,3085.56,3084.39,3084.44,0,0
2014-01-02,11:55:00,3084.52,3086.18,3084.47,3086.18,0,0
2014-01-02,12:00:00,3086.23,3086.62,3079.65,3081.28,0,0
2014-01-02,12:05:00,3081.10,3081.10,3075.69,3080.22,0,0
2014-01-02,12:10:00,3080.37,3080.95,3076.57,3078.26,0,0
2014-01-02,12:15:00,3078.62,3080.55,3078.31,3079.94,0,0
2014-01-02,12:20:00,3080.08,3082.29,3079.84,3082.25,0,0
2014-01-02,12:25:00,3082.02,3084.84,3081.64,3084.44,0,0
2014-01-02,12:30:00,3085.12,3088.27,3084.90,3088.19,0,0
2014-01-02,12:35:00,3088.03,3088.37,3085.92,3087.53,0,0
2014-01-02,12:40:00,3087.68,3088.56,3087.19,3087.26,0,0
2014-01-02,12:45:00,3087.11,3089.57,3084.66,3086.26,0,0
2014-01-02,12:50:00,3086.37,3088.26,3086.29,3087.81,0,0
2014-01-02,12:55:00,3087.72,3089.81,3086.12,3089.81,0,0
2014-01-02,13:00:00,3089.58,3089.58,3085.26,3085.85,0,0
2014-01-02,13:05:00,3085.52,3085.62,3083.23,3085.62,0,0
2014-01-02,13:10:00,3085.87,3086.09,3083.96,3083.99,0,0
2014-01-02,13:15:00,3083.76,3085.97,3083.08,3085.95,0,0
2014-01-02,13:20:00,3086.16,3086.16,3083.69,3083.69,0,0
2014-01-02,13:25:00,3083.48,3084.17,3083.09,3083.56,0,0
2014-01-02,13:30:00,3083.58,3087.58,3083.53,3087.58,0,0
2014-01-02,13:35:00,3089.08,3090.06,3087.56,3087.56,0,0
2014-01-02,13:40:00,3088.19,3089.31,3087.59,3088.87,0,0
2014-01-02,13:45:00,3088.82,3089.42,3088.51,3089.38,0,0
2014-01-02,13:50:00,3089.25,3089.96,3089.01,3089.96,0,0
2014-01-02,13:55:00,3089.82,3090.26,3088.09,3090.05,0,0
2014-01-02,14:00:00,3090.01,3090.01,3088.11,3088.52,0,0
2014-01-02,14:05:00,3088.27,3089.03,3087.48,3088.52,0,0
2014-01-02,14:10:00,3088.55,3089.52,3088.53,3089.46,0,0
2014-01-02,14:15:00,3089.51,3089.91,3088.56,3089.18,0,0
2014-01-02,14:20:00,3089.41,3090.69,3089.33,3090.69,0,0
2014-01-02,14:25:00,3090.68,3092.28,3090.68,3092.22,0,0
2014-01-02,14:30:00,3092.33,3092.33,3090.92,3092.15,0,0
2014-01-02,14:35:00,3091.82,3092.40,3090.92,3092.36,0,0
2014-01-02,14:40:00,3092.43,3092.43,3088.25,3088.85,0,0
2014-01-02,14:45:00,3087.81,3087.81,3086.70,3086.75,0,0
2014-01-02,14:50:00,3086.50,3086.83,3086.33,3086.62,0,0
2014-01-02,14:55:00,3086.86,3087.65,3085.47,3085.47,0,0
2014-01-02,15:00:00,3084.88,3084.88,3084.10,3084.65,0,0
2014-01-02,15:05:00,3083.80,3085.31,3083.42,3085.21,0,0
2014-01-02,15:10:00,3085.38,3085.45,3084.10,3084.90,0,0
2014-01-02,15:15:00,3084.83,3085.23,3083.16,3083.17,0,0
2014-01-02,15:20:00,3083.19,3083.93,3082.29,3083.43,0,0
2014-01-02,15:25:00,3083.49,3086.54,3083.49,3086.54,0,0
2014-01-02,15:30:00,3086.48,3086.48,3082.25,3083.23,0,0
2014-01-02,15:35:00,3084.09,3084.28,3081.89,3082.89,0,0
2014-01-02,15:40:00,3082.54,3082.54,3076.78,3076.78,0,0
2014-01-02,15:45:00,3076.02,3076.02,3071.93,3075.12,0,0
2014-01-02,15:50:00,3074.90,3077.47,3074.86,3075.11,0,0
2014-01-02,15:55:00,3075.19,3075.19,3068.11,3068.11,0,0
2014-01-02,16:00:00,3069.20,3072.15,3068.92,3072.15,0,0
2014-01-02,16:05:00,3072.00,3072.00,3062.72,3064.36,0,0
2014-01-02,16:10:00,3064.62,3068.38,3064.62,3067.38,0,0
2014-01-02,16:15:00,3067.09,3073.44,3067.09,3072.49,0,0
2014-01-02,16:20:00,3072.71,3074.35,3072.32,3072.32,0,0
2014-01-02,16:25:00,3070.13,3070.13,3065.97,3067.71,0,0
2014-01-02,16:30:00,3068.07,3071.13,3067.40,3071.13,0,0
2014-01-02,16:35:00,3071.11,3071.11,3069.20,3070.28,0,0
2014-01-02,16:40:00,3068.66,3068.66,3065.15,3065.37,0,0
2014-01-02,16:45:00,3066.06,3071.53,3066.06,3071.53,0,0
2014-01-02,16:50:00,3072.96,3072.96,3069.09,3070.65,0,0
2014-01-02,16:55:00,3070.54,3070.54,3063.51,3063.51,0,0
2014-01-02,17:00:00,3063.63,3066.43,3063.52,3064.91,0,0
2014-01-02,17:05:00,3064.99,3064.99,3058.63,3058.63,0,0
2014-01-02,17:10:00,3058.69,3065.22,3058.69,3064.86,0,0
2014-01-02,17:15:00,3064.77,3068.49,3063.96,3067.05,0,0
2014-01-02,17:20:00,3066.86,3067.96,3065.36,3065.36,0,0
2014-01-02,17:25:00,3065.67,3069.86,3065.67,3068.15,0,0
2014-01-02,17:30:00,3068.31,3068.31,3063.71,3064.02,0,0
2014-01-03,09:05:00,3064.95,3070.59,3064.95,3068.02,0,0
2014-01-03,09:10:00,3067.99,3070.00,3067.13,3069.60,0,0
2014-01-03,09:15:00,3068.89,3068.91,3065.27,3065.46,0,0
2014-01-03,09:20:00,3065.36,3065.36,3060.59,3060.75,0,0
2014-01-03,09:25:00,3060.73,3061.89,3057.50,3057.50,0,0
2014-01-03,09:30:00,3056.50,3060.22,3056.50,3057.13,0,0
2014-01-03,09:35:00,3057.88,3059.22,3055.13,3058.09,0,0
2014-01-03,09:40:00,3057.99,3058.44,3057.29,3057.29,0,0
2014-01-03,09:45:00,3057.12,3062.58,3057.12,3062.58,0,0
2014-01-03,09:50:00,3063.27,3063.93,3060.24,3060.85,0,0
2014-01-03,09:55:00,3060.94,3061.63,3059.65,3060.48,0,0
2014-01-03,10:00:00,3060.52,3064.31,3060.52,3064.31,0,0
2014-01-03,10:05:00,3064.87,3070.26,3064.10,3070.26,0,0
2014-01-03,10:10:00,3070.28,3074.39,3069.45,3074.01,0,0
2014-01-03,10:15:00,3073.80,3075.34,3072.62,3074.88,0,0
2014-01-03,10:20:00,3075.35,3075.56,3071.22,3071.22,0,0
2014-01-03,10:25:00,3071.20,3073.84,3071.17,3072.31,0,0
2014-01-03,10:30:00,3072.32,3072.32,3070.36,3070.36,0,0
2014-01-03,10:35:00,3070.27,3071.39,3069.61,3071.24,0,0
