Date,Open,High,Low,Close,Volume,OpenInterest
2014-01-31,3116.34,3176.99,2963.23,3013.96,0,0
2014-02-28,3012.25,3162.95,2944.13,3149.23,0,0
2014-03-31,3124.81,3185.68,2971.47,3161.60,0,0
2014-04-30,3169.49,3239.14,3083.43,3198.39,0,0
2014-05-30,3198.97,3250.34,3129.08,3244.60,0,0
2014-06-30,3247.54,3325.50,3211.50,3228.24,0,0
2014-07-31,3234.74,3289.82,3109.26,3115.51,0,0
2014-08-29,3118.83,3202.85,2977.52,3172.63,0,0
2014-09-30,3175.56,3301.15,3158.27,3225.93,0,0
2014-10-31,3217.81,3236.58,2789.63,3113.32,0,0
2014-11-28,3107.80,3250.93,3026.41,3250.93,0,0
2014-12-31,3228.68,3278.63,2921.73,3146.43,0,0
