Date,Open,High,Low,Close,Volume,OpenInterest
2014-01-03,3116.34,3127.12,3055.13,3074.43,0,0
2014-01-10,3070.14,3131.18,3064.83,3104.15,0,0
2014-01-17,3112.86,3170.03,3072.86,3154.10,0,0
2014-01-24,3152.24,3176.99,3023.71,3028.20,0,0
2014-01-31,3032.15,3076.96,2963.23,3013.96,0,0
2014-02-07,3012.25,3039.98,2944.13,3038.49,0,0
2014-02-14,3049.35,3123.66,3026.67,3119.06,0,0
2014-02-21,3121.04,3134.64,3079.46,3131.67,0,0
2014-02-28,3130.87,3162.95,3105.58,3149.23,0,0
2014-03-07,3124.81,3158.15,3053.85,3095.31,0,0
2014-03-14,3093.62,3126.62,2971.47,3004.64,0,0
2014-03-21,3003.67,3110.39,3001.70,3096.49,0,0
2014-03-28,3092.56,3172.43,3046.83,3172.43,0,0
2014-04-04,3181.35,3239.14,3159.75,3230.33,0,0
2014-04-11,3217.83,3218.95,3096.47,3116.54,0,0
2014-04-18,3108.65,3156.64,3083.43,3155.81,0,0
2014-04-25,3161.69,3206.80,3137.21,3147.40,0,0
2014-05-02,3155.32,3212.51,3151.72,3177.89,0,0
2014-05-09,3171.18,3204.30,3129.08,3184.09,0,0
2014-05-16,3184.44,3224.29,3142.85,3172.72,0,0
2014-05-23,3169.26,3205.01,3134.76,3203.28,0,0
2014-05-30,3211.26,3250.34,3211.26,3244.60,0,0
2014-06-06,3247.54,3297.51,3217.87,3294.28,0,0
2014-06-13,3296.78,3314.67,3254.53,3282.84,0,0
2014-06-20,3276.33,3325.50,3256.20,3302.36,0,0
2014-06-27,3301.18,3302.90,3215.72,3227.85,0,0
2014-07-04,3230.28,3289.82,3211.50,3270.47,0,0
2014-07-11,3264.21,3269.32,3132.87,3157.05,0,0
2014-07-18,3161.40,3203.48,3132.12,3164.21,0,0
2014-07-25,3165.02,3223.88,3130.84,3174.99,0,0
2014-08-01,3183.03,3210.67,3064.60,3072.57,0,0
2014-08-08,3082.59,3095.13,2977.52,3006.83,0,0
2014-08-15,3019.44,3093.74,3017.64,3033.52,0,0
2014-08-22,3056.65,3127.80,3056.65,3098.50,0,0
2014-08-29,3123.56,3202.85,3123.56,3172.63,0,0
2014-09-05,3175.56,3286.59,3158.27,3275.25,0,0
2014-09-12,3276.20,3278.56,3216.27,3235.07,0,0
2014-09-19,3228.67,3301.15,3206.71,3273.25,0,0
2014-09-26,3262.52,3274.36,3188.39,3219.58,0,0
2014-10-03,3218.39,3236.59,3106.42,3133.37,0,0
2014-10-10,3149.62,3169.86,2987.00,2991.50,0,0
2014-10-17,2970.21,3017.25,2789.63,2962.24,0,0
2014-10-24,2957.24,3051.49,2906.04,3030.37,0,0
2014-10-31,3052.23,3120.19,2965.57,3113.32,0,0
2014-11-07,3107.80,3142.60,3028.33,3064.92,0,0
2014-11-14,3060.98,3118.49,3026.41,3059.99,0,0
2014-11-21,3044.81,3195.40,3031.26,3194.22,0,0
2014-11-28,3197.53,3250.93,3193.38,3250.93,0,0
2014-12-05,3228.68,3278.63,3186.06,3277.38,0,0
2014-12-12,3266.90,3272.79,3065.41,3067.32,0,0
2014-12-19,3063.76,3182.36,2921.73,3141.28,0,0
2014-12-26,3150.31,3192.47,3141.17,3184.66,0,0
2015-01-02,3188.50,3188.50,3131.87,3146.43,0,0
