Date,Open,High,Low,Close,Volume,Adj Close
1995-01-03,44.12,44.38,42.87,42.87,36301200,2.00
1995-01-04,43.00,43.50,42.37,43.25,46051600,2.01
1995-01-05,43.38,43.50,42.25,42.37,37762800,1.97
1995-01-06,42.37,43.62,41.75,42.87,41864400,2.00
1995-01-09,43.25,44.12,43.13,44.12,34639200,2.05
1995-01-10,44.38,44.88,44.25,44.25,42088000,2.06
1995-01-11,44.62,44.88,42.50,42.94,46762000,2.00
1995-01-12,43.00,43.13,42.25,42.63,41294400,1.98
1995-01-13,43.13,43.44,42.00,42.13,55039200,1.96
1995-01-16,41.00,42.13,40.00,41.87,54574800,1.95
1995-01-17,41.87,43.38,41.87,43.38,39588000,2.02
1995-01-18,43.25,43.75,43.13,43.25,28841200,2.01
1995-01-19,43.13,44.88,42.87,44.75,55818000,2.08
1995-01-20,44.75,44.88,43.13,43.94,48518800,2.05
1995-01-23,43.62,43.62,42.50,43.00,37551600,2.00
1995-01-24,43.00,43.25,42.25,42.87,28960800,2.00
1995-01-25,42.63,44.50,42.25,43.75,67278400,2.04
1995-01-26,43.62,43.75,42.87,42.87,27543600,2.00
1995-01-27,43.00,43.25,42.25,42.75,35708400,1.99
1995-01-30,42.75,42.87,41.63,41.75,44440000,1.94
1995-01-31,42.00,43.13,41.75,42.63,37908400,1.98
1995-02-01,43.13,43.38,42.13,42.37,24384400,1.97
1995-02-02,42.37,43.00,42.13,42.87,24165600,2.00
1995-02-03,43.25,44.50,43.00,44.00,53942800,2.05
1995-02-06,44.00,44.62,43.75,44.44,24818800,2.07
1995-02-07,44.50,44.62,43.75,44.38,18529600,2.07
1995-02-08,44.50,44.62,43.62,43.88,26293200,2.04
1995-02-09,44.25,44.88,43.50,43.50,48528000,2.03
1995-02-10,43.75,44.62,43.50,44.25,36315600,2.06
1995-02-13,44.38,45.37,44.00,44.50,33372400,2.07
1995-02-14,44.88,45.13,43.75,44.12,28029600,2.05
1995-02-15,44.25,45.75,44.25,45.75,44546800,2.13
1995-02-16,45.75,46.25,45.25,46.13,45473200,2.15
1995-02-17,46.00,46.13,45.50,45.63,20790000,2.12
1995-02-21,46.00,46.50,45.75,46.13,27059200,2.15
1995-02-22,45.87,47.25,45.63,47.12,40435200,2.19
1995-02-23,31.75,32.13,31.00,31.37,42390400,2.19
1995-02-24,31.37,31.37,30.38,30.50,34297600,2.13
1995-02-27,30.63,31.50,30.38,30.38,31061200,2.12
1995-02-28,30.75,31.50,30.38,31.37,23047200,2.19
1995-03-01,31.62,31.75,31.13,31.25,24346800,2.18
1995-03-02,31.50,31.62,30.75,31.62,14650000,2.21
1995-03-03,31.62,33.00,31.25,32.88,44342800,2.30
1995-03-06,32.63,32.75,31.87,32.50,27613600,2.27
1995-03-07,32.38,32.75,32.00,32.25,30264000,2.25
1995-03-08,32.25,32.50,32.13,32.50,17985600,2.27
1995-03-09,32.63,33.00,32.25,32.75,45533200,2.29
1995-03-10,32.63,33.00,32.50,33.00,26088000,2.31
1995-03-13,33.12,33.62,33.00,33.12,30138000,2.31
1995-03-14,33.62,33.88,33.25,33.25,24872800,2.32
1995-03-15,33.50,33.50,32.63,32.75,24435600,2.29
1995-03-16,32.75,33.25,32.75,33.25,19735200,2.32
1995-03-17,33.37,33.75,33.00,33.37,29170800,2.33
1995-03-20,33.50,34.62,33.12,33.62,20464000,2.35
1995-03-21,34.13,34.62,33.34,34.25,46642000,2.39
1995-03-22,33.12,33.37,32.63,33.00,87223200,2.31
1995-03-23,33.12,33.12,31.50,31.87,53838000,2.23
1995-03-24,31.87,32.50,31.62,32.13,59328000,2.24
1995-03-27,32.13,32.50,31.87,32.38,55688400,2.26
1995-03-28,32.38,32.75,32.13,32.75,43761600,2.29
1995-03-29,32.75,33.12,31.50,32.00,42786400,2.24
1995-03-30,32.25,32.38,30.88,31.37,42184800,2.19
1995-03-31,30.75,31.87,30.63,31.25,21330400,2.18
1995-04-03,31.13,32.38,30.88,32.13,34187200,2.24
1995-04-04,31.50,33.25,31.00,31.50,62237200,2.20
1995-04-05,31.50,31.50,30.75,31.25,42781200,2.18
1995-04-06,31.00,31.25,29.25,29.38,51303600,2.05
1995-04-07,30.00,31.13,29.75,30.63,74368800,2.14
1995-04-10,30.50,30.75,30.12,30.63,33039600,2.14
1995-04-11,31.00,31.13,30.75,31.13,27496800,2.17
1995-04-12,31.50,32.13,31.25,32.00,20217600,2.24
1995-04-13,32.25,32.63,31.25,32.00,23033200,2.24
1995-04-17,32.13,32.25,31.13,31.19,35958400,2.18
1995-04-18,31.37,31.62,30.63,30.88,38097600,2.16
1995-04-19,30.75,30.88,29.62,30.25,52083600,2.11
1995-04-20,30.50,30.75,29.62,29.87,34000800,2.09
1995-04-21,30.00,30.12,29.75,30.00,62858400,2.10
1995-04-24,30.12,30.63,29.75,30.44,55102000,2.13
1995-04-25,30.50,30.88,29.62,29.75,56012400,2.08
1995-04-26,29.75,30.00,28.88,29.00,53532400,2.03
1995-04-27,29.00,31.87,28.00,31.25,150139600,2.18
1995-04-28,31.37,31.75,30.00,30.50,66034800,2.13
1995-05-01,30.63,30.75,29.87,30.06,49532400,2.10
1995-05-02,30.12,30.12,29.75,29.81,43858800,2.08
1995-05-03,30.00,32.00,29.87,31.50,91555200,2.20
1995-05-04,31.87,32.63,30.75,30.75,68866000,2.15
1995-05-05,31.25,31.50,30.50,30.63,30326800,2.14
1995-05-08,30.88,31.31,30.63,30.88,24262000,2.16
1995-05-09,31.25,31.50,30.50,31.00,35996400,2.17
1995-05-10,31.13,31.50,30.63,31.13,22288000,2.17
1995-05-11,31.00,32.13,30.75,32.13,38153200,2.24
1995-05-12,32.00,33.25,31.87,32.50,72420000,2.27
1995-05-15,32.88,34.13,32.50,33.94,56471200,2.37
1995-05-16,34.00,35.00,33.88,34.31,88011600,2.40
1995-05-17,34.62,35.12,34.38,34.50,48359200,2.41
1995-05-18,34.50,34.62,33.37,33.37,37798000,2.33
1995-05-19,33.12,34.00,33.00,34.00,31640800,2.37
1995-05-22,34.38,34.38,33.37,33.62,35697600,2.35
1995-05-23,33.75,34.87,33.56,34.87,34003600,2.44
1995-05-24,36.62,37.75,36.37,37.63,121257600,2.63
1995-05-25,37.88,38.50,36.50,37.00,56305600,2.58
1995-05-26,37.00,37.00,35.75,36.13,33050400,2.52
1995-05-30,36.25,36.25,34.25,34.25,64638400,2.39
1995-05-31,34.38,34.87,33.12,34.75,49482400,2.43
1995-06-01,35.00,35.88,35.00,35.63,38858800,2.49
1995-06-02,35.50,36.37,34.50,36.00,41282800,2.51
1995-06-05,37.00,37.00,35.25,35.63,43310400,2.49
1995-06-06,35.63,35.75,34.00,34.75,33982800,2.43
1995-06-07,35.00,35.63,34.62,35.25,30613200,2.46
1995-06-08,35.50,35.88,35.25,35.63,19054800,2.49
1995-06-09,35.63,36.87,35.12,36.75,37538800,2.57
1995-06-12,37.25,37.88,36.37,37.25,41046000,2.60
1995-06-13,37.75,37.88,36.75,37.38,43446400,2.61
1995-06-14,37.38,37.50,36.87,37.38,30049200,2.61
1995-06-15,37.38,37.88,37.00,37.38,19678000,2.61
1995-06-16,37.75,37.88,37.00,37.63,26305600,2.63
1995-06-19,37.88,39.13,37.75,38.62,39504400,2.70
1995-06-20,38.88,39.38,38.25,39.00,41228800,2.72
1995-06-21,39.63,39.75,38.25,38.88,47905600,2.72
1995-06-22,39.25,40.50,39.00,40.12,71226400,2.80
1995-06-23,40.00,40.25,38.12,39.25,78650800,2.74
1995-06-26,39.25,39.50,37.50,38.12,40346800,2.66
1995-06-27,37.88,39.00,37.50,37.75,36228400,2.64
1995-06-28,37.63,38.50,36.75,37.69,42115200,2.63
1995-06-29,37.88,39.00,37.50,38.62,42813600,2.70
1995-06-30,38.75,39.38,38.25,38.62,27302400,2.70
1995-07-03,38.75,39.50,38.50,39.13,12094000,2.73
1995-07-05,39.25,39.75,38.62,38.75,38658400,2.71
1995-07-06,38.88,39.50,38.25,39.38,39179200,2.75
1995-07-07,39.25,40.50,39.25,40.37,52280800,2.82
1995-07-10,40.50,41.50,40.37,40.75,36128400,2.85
1995-07-11,40.75,40.75,39.00,39.00,36520000,2.72
1995-07-12,39.50,41.13,39.38,40.88,36703600,2.86
1995-07-13,40.88,42.12,40.12,40.75,32470000,2.85
1995-07-14,40.37,41.00,39.75,40.81,29300800,2.85
1995-07-17,41.13,42.25,41.00,42.25,41150400,2.95
1995-07-18,42.25,42.25,40.00,40.12,53179200,2.80
1995-07-19,38.00,39.87,36.50,38.25,98179600,2.67
1995-07-20,38.25,38.75,37.75,38.37,55798000,2.68
1995-07-21,38.00,39.13,38.00,38.44,31044400,2.68
1995-07-24,38.75,39.38,38.37,39.19,27229200,2.74
1995-07-25,39.75,40.75,39.25,40.25,43365600,2.81
1995-07-26,40.75,42.25,40.50,42.25,49709200,2.95
1995-07-27,42.50,44.00,42.38,43.37,40500400,3.03
1995-07-28,43.25,43.25,42.00,42.12,28096000,2.94
1995-07-31,42.25,42.25,41.25,41.87,17105200,2.93
1995-08-01,42.00,42.00,39.87,40.63,30454000,2.84
1995-08-02,41.13,42.25,39.25,39.63,48919200,2.77
1995-08-03,38.75,39.63,37.78,39.31,71761200,2.75
1995-08-04,39.25,40.50,39.00,40.37,22397200,2.82
1995-08-07,40.37,41.25,40.12,40.31,15670800,2.82
1995-08-08,40.50,40.63,39.75,39.94,12747600,2.79
1995-08-09,40.63,41.13,40.25,41.00,23404000,2.86
1995-08-10,41.00,41.62,40.88,41.25,22918000,2.88
1995-08-11,41.37,41.50,40.00,40.88,18044800,2.86
1995-08-14,40.75,42.00,40.37,41.87,28754800,2.93
1995-08-15,42.00,42.25,40.75,41.62,24782800,2.91
1995-08-16,41.62,42.75,41.50,42.75,31606000,2.99
1995-08-17,42.75,43.25,42.50,43.19,26641600,3.02
1995-08-18,43.62,43.88,42.63,43.25,38806800,3.02
1995-08-21,44.00,44.38,42.25,42.31,31201200,2.96
1995-08-22,42.38,42.88,41.37,42.75,32065600,2.99
1995-08-23,42.75,43.37,42.25,42.88,25450000,2.99
